Anyo,codigo_distrito,codigo_barrio,autonomos
2010,1,11,2018
2010,1,12,2900
2010,1,13,1317
2010,1,14,2342
2010,1,15,2629
2010,1,16,1718
2010,2,21,822
2010,2,22,1334
2010,2,23,750
2010,2,24,557
2010,2,25,845
2010,2,26,1398
2010,2,27,72
2010,3,31,1154
2010,3,32,607
2010,3,33,777
2010,3,34,1207
2010,3,35,515
2010,3,36,746
2010,4,41,2496
2010,4,42,2068
2010,4,43,939
2010,4,44,1958
2010,4,45,1421
2010,4,46,1942
2010,5,51,1606
2010,5,52,1949
2010,5,53,1174
2010,5,54,2153
2010,5,55,1716
2010,5,56,858
2010,6,61,1183
2010,6,62,2655
2010,6,63,1884
2010,6,64,777
2010,6,65,1036
2010,6,66,993
2010,7,71,1347
2010,7,72,1269
2010,7,73,1837
2010,7,74,2308
2010,7,75,1686
2010,7,76,1001
2010,8,81,91
2010,8,82,100
2010,8,83,1292
2010,8,84,1476
2010,8,85,1020
2010,8,86,1437
2010,8,87,790
2010,8,88,153
2010,9,91,414
2010,9,92,1607
2010,9,93,710
2010,9,94,838
2010,9,95,188
2010,9,96,261
2010,9,97,1214
2010,10,101,428
2010,10,102,1614
2010,10,103,1051
2010,10,104,2213
2010,10,105,541
2010,10,106,40
2010,10,107,1242
2010,11,111,917
2010,11,112,1237
2010,11,113,1322
2010,11,114,1855
2010,11,115,979
2010,11,116,1152
2010,11,117,785
2010,12,121,340
2010,12,122,231
2010,12,123,423
2010,12,124,722
2010,12,125,956
2010,12,126,374
2010,12,127,846
2010,13,131,781
2010,13,132,1318
2010,13,133,897
2010,13,134,1024
2010,13,135,776
2010,13,136,1476
2010,14,141,177
2010,14,142,135
2010,14,143,869
2010,14,144,433
2010,14,145,351
2010,14,146,378
2010,15,151,1661
2010,15,152,2290
2010,15,153,1116
2010,15,154,928
2010,15,155,725
2010,15,156,665
2010,15,157,392
2010,15,158,155
2010,15,159,909
2010,16,161,250
2010,16,162,773
2010,16,163,1680
2010,16,164,1833
2010,16,165,419
2010,16,166,842
2010,17,171,1714
2010,17,172,156
2010,17,173,255
2010,17,174,822
2010,17,175,705
2010,18,181,1434
2010,18,182,583
2010,19,191,1070
2010,20,201,1381
2010,20,202,152
2010,20,203,253
2010,20,204,444
2010,20,205,857
2010,20,206,407
2010,20,207,1097
2010,20,208,368
2010,21,211,652
2010,21,212,67
2010,21,213,319
2010,21,214,336
2010,21,215,238
2011,1,11,1990
2011,1,12,2902
2011,1,13,1340
2011,1,14,2376
2011,1,15,2732
2011,1,16,1681
2011,2,21,845
2011,2,22,1393
2011,2,23,726
2011,2,24,554
2011,2,25,849
2011,2,26,1373
2011,2,27,59
2011,3,31,1289
2011,3,32,484
2011,3,33,824
2011,3,34,1339
2011,3,35,498
