Anyo,codigo_distrito,incidentes_por_distrito
2014,1,5131
2014,2,1787
2014,3,419
2014,4,848
2014,5,848
2014,6,1095
2014,7,685
2014,8,775
2014,9,960
2014,10,872
2014,11,3133
2014,12,957
2014,13,2299
2014,14,314
2014,15,1545
2014,16,1001
2014,17,1217
2014,18,1792
2014,19,476
2014,20,626
2014,21,472
2015,1,4941
2015,2,2186
2015,3,500
2015,4,795
2015,5,901
2015,6,970
2015,7,542
2015,8,593
2015,9,844
2015,10,1161
2015,11,2268
2015,12,1329
2015,13,1704
2015,14,439
2015,15,1419
2015,16,845
2015,17,1248
2015,18,1323
2015,19,480
2015,20,682
2015,21,459
2016,1,5242
2016,2,2572
2016,3,455
2016,4,821
2016,5,684
2016,6,974
2016,7,629
2016,8,540
2016,9,795
2016,10,801
2016,11,1756
2016,12,1233
2016,13,2150
2016,14,425
2016,15,1568
2016,16,595
2016,17,1005
2016,18,1114
2016,19,467
2016,20,728
2016,21,427
2017,1,5731
2017,2,1980
2017,3,440
2017,4,986
2017,5,682
2017,6,1507
2017,7,749
2017,8,673
2017,9,931
2017,10,848
2017,11,1734
2017,12,1126
2017,13,3207
2017,14,582
2017,15,1609
2017,16,764
2017,17,1111
2017,18,974
2017,19,477
2017,20,1019
2017,21,493
2018,1,2896
2018,2,251
2018,3,222
2018,4,686
2018,5,472
2018,6,620
2018,7,355
2018,8,429
2018,9,256
2018,10,428
2018,11,585
2018,12,324
2018,13,988
2018,14,227
2018,15,463
2018,16,434
2018,17,740
2018,18,418
2018,19,126
2018,20,617
2018,21,189
2019,1,5190
2019,2,767
2019,3,299
2019,4,1060
2019,5,582
2019,6,1088
2019,7,576
2019,8,762
2019,9,615
2019,10,638
2019,11,1071
2019,12,809
2019,13,1652
2019,14,247
2019,15,1219
2019,16,413
2019,17,915
2019,18,795
2019,19,216
2019,20,737
2019,21,341
2020,1,2652
2020,2,405
2020,3,180
2020,4,918
2020,5,285
2020,6,522
2020,7,607
2020,8,582
2020,9,655
2020,10,703
2020,11,1316
2020,12,728
2020,13,1899
2020,14,281
2020,15,1031
2020,16,694
2020,17,804
2020,18,703
2020,19,205
2020,20,598
2020,21,362
2021,1,2724
2021,2,300
2021,3,282
2021,4,872
2021,5,445
2021,6,587
2021,7,488
2021,8,447
2021,9,681
2021,10,823
2021,11,1068
2021,12,597
2021,13,1198
2021,14,224
2021,15,713
2021,16,575
2021,17,747
2021,18,588
2021,19,240
2021,20,772
2021,21,287
2022,1,2805
2022,2,300
2022,3,162
2022,4,540
2022,5,396
2022,6,513
2022,7,508
2022,8,309
2022,9,456
2022,10,726
2022,11,1052
2022,12,466
2022,13,1125
2022,14,183
2022,15,811
2022,16,482
2022,17,598
2022,18,454
2022,19,219
2022,20,476
2022,21,191
