Anyo,codigo_barrio,nombre_barrio,area_barrio_m2,codigo_distrito,nombre_distrito,total_viviendas,tasa_extranjeros,parados,poblacion,renta,tamanyo_hogar,incidentes_por_distrito,autonomos,precio_venta_m2,precio_alquiler_m2
2010,11.0,PALACIO,1469905.684,1,Centro,,19.35,,23568.0,,,,2018.0,3999.6666666666665,15.533333333333331
2011,11.0,PALACIO,1469905.684,1,Centro,,19.57,,23421.0,,,,1990.0,3881.8333333333335,15.091666666666669
2012,11.0,PALACIO,1469905.684,1,Centro,,18.01,1680.0,22992.0,,,,1664.0,3571.1666666666665,14.258333333333333
2013,11.0,PALACIO,1469905.684,1,Centro,,17.19,20532.0,22751.0,31912.671136554,,,1736.0,3289.833333333333,13.408333333333331
2014,11.0,PALACIO,1469905.684,1,Centro,,16.87,19094.0,22344.0,32445.4549182297,,5131.0,1937.0,3278.0,13.491666666666667
2015,11.0,PALACIO,1469905.684,1,Centro,,16.33,17572.0,22166.0,34675.8479134597,,4941.0,2050.0,3423.833333333333,14.05
2016,11.0,PALACIO,1469905.684,1,Centro,,16.31,16933.0,22390.0,35509.0,,5242.0,1991.0,3666.3333333333335,15.666666666666666
2017,11.0,PALACIO,1469905.684,1,Centro,,16.53,16066.0,22353.0,36357.0,,5731.0,2206.0,4135.583333333333,17.466666666666665
2018,11.0,PALACIO,1469905.684,1,Centro,,17.12,15159.0,22515.0,38974.0,,2896.0,1599.0,4874.083333333333,18.416666666666668
2019,11.0,PALACIO,1469905.684,1,Centro,11305.0,17.57,14379.0,22923.0,,2.03,5190.0,2396.0,5024.0,18.566666666666663
2020,11.0,PALACIO,1469905.684,1,Centro,11583.0,18.53,18410.0,23593.0,,2.04,2652.0,2487.0,4994.833333333333,18.325
2021,11.0,PALACIO,1469905.684,1,Centro,11613.0,19.76,19120.0,23584.0,,2.03,2724.0,2402.0,4820.25,16.641666666666666
2022,11.0,PALACIO,1469905.684,1,Centro,,20.7,736572.0,23417.0,,,,,5108.2,18.62
2005,11.0,PALACIO,1469905.684,1,Centro,,18.99,,24786.0,,,,,,
2006,11.0,PALACIO,1469905.684,1,Centro,,20.04,,24811.0,,,,,,
2007,11.0,PALACIO,1469905.684,1,Centro,,18.57,,23580.0,,,,,4497.571428571428,
2008,11.0,PALACIO,1469905.684,1,Centro,,19.23,,23723.0,,,,,4293.166666666667,18.166666666666668
2009,11.0,PALACIO,1469905.684,1,Centro,,19.63,,23713.0,,,,,4093.4166666666665,16.516666666666666
2010,12.0,EMBAJADORES,1033724.698,1,Centro,,33.54,,50208.0,,,,2900.0,3999.6666666666665,15.533333333333331
2011,12.0,EMBAJADORES,1033724.698,1,Centro,,32.59,,49504.0,,,,2902.0,3881.8333333333335,15.091666666666669
2012,12.0,EMBAJADORES,1033724.698,1,Centro,,30.01,4328.0,48477.0,,,,2387.0,3571.1666666666665,14.258333333333333
2013,12.0,EMBAJADORES,1033724.698,1,Centro,,28.56,53003.0,47470.0,23917.9716060291,,,2634.0,3289.833333333333,13.408333333333331
2014,12.0,EMBAJADORES,1033724.698,1,Centro,,26.72,48652.0,45710.0,23833.4106685303,,5131.0,3047.0,3278.0,13.491666666666667
2015,12.0,EMBAJADORES,1033724.698,1,Centro,,24.84,44262.0,44268.0,25999.8327430822,,4941.0,3243.0,3423.833333333333,14.05
2016,12.0,EMBAJADORES,1033724.698,1,Centro,,24.68,40935.0,44944.0,26762.0,,5242.0,3239.0,3666.3333333333335,15.666666666666666
2017,12.0,EMBAJADORES,1033724.698,1,Centro,,24.57,37181.0,44630.0,27655.0,,5731.0,3593.0,4135.583333333333,17.466666666666665
2018,12.0,EMBAJADORES,1033724.698,1,Centro,,25.26,34179.0,44630.0,29472.0,,2896.0,2507.0,4874.083333333333,18.416666666666668
2019,12.0,EMBAJADORES,1033724.698,1,Centro,22089.0,26.22,31979.0,45259.0,,2.05,5190.0,4037.0,5024.0,18.566666666666663
2020,12.0,EMBAJADORES,1033724.698,1,Centro,22564.0,28.06,42008.0,47048.0,,2.09,2652.0,4185.0,4994.833333333333,18.325
2021,12.0,EMBAJADORES,1033724.698,1,Centro,22614.0,29.58,41495.0,47238.0,,2.09,2724.0,3971.0,4820.25,16.641666666666666
2022,12.0,EMBAJADORES,1033724.698,1,Centro,,29.74,45611.0,46444.0,,,,,5108.2,18.62
2005,12.0,EMBAJADORES,1033724.698,1,Centro,,31.74,,50917.0,,,,,,
2006,12.0,EMBAJADORES,1033724.698,1,Centro,,33.85,,51527.0,,,,,,
2007,12.0,EMBAJADORES,1033724.698,1,Centro,,31.78,,49197.0,,,,,4497.571428571428,
2008,12.0,EMBAJADORES,1033724.698,1,Centro,,32.67,,49593.0,,,,,4293.166666666667,18.166666666666668
2009,12.0,EMBAJADORES,1033724.698,1,Centro,,33.66,,50196.0,,,,,4093.4166666666665,16.516666666666666
2010,13.0,CORTES,591874.1219,1,Centro,,23.67,,11113.0,,,,1317.0,3999.6666666666665,15.533333333333331
2011,13.0,CORTES,591874.1219,1,Centro,,23.86,,11149.0,,,,1340.0,3881.8333333333335,15.091666666666669
2012,13.0,CORTES,591874.1219,1,Centro,,21.73,829.0,10941.0,,,,1154.0,3571.1666666666665,14.258333333333333
2013,13.0,CORTES,591874.1219,1,Centro,,21.45,10063.0,10888.0,32410.5625925926,,,1193.0,3289.833333333333,13.408333333333331
2014,13.0,CORTES,591874.1219,1,Centro,,20.93,9474.0,10674.0,32402.8497833656,,5131.0,1378.0,3278.0,13.491666666666667
2015,13.0,CORTES,591874.1219,1,Centro,,20.15,8728.0,10482.0,34952.6798046567,,4941.0,1428.0,3423.833333333333,14.05
2016,13.0,CORTES,591874.1219,1,Centro,,20.55,8239.0,10622.0,37427.0,,5242.0,1439.0,3666.3333333333335,15.666666666666666
2017,13.0,CORTES,591874.1219,1,Centro,,20.89,7485.0,10521.0,37725.0,,5731.0,1532.0,4135.583333333333,17.466666666666665
2018,13.0,CORTES,591874.1219,1,Centro,,21.96,6506.0,10531.0,40963.0,,2896.0,1105.0,4874.083333333333,18.416666666666668
2019,13.0,CORTES,591874.1219,1,Centro,5406.0,23.08,6079.0,10484.0,,1.94,5190.0,1678.0,5024.0,18.566666666666663
2020,13.0,CORTES,591874.1219,1,Centro,5449.0,24.36,7532.0,10771.0,,1.98,2652.0,1731.0,4994.833333333333,18.325
2021,13.0,CORTES,591874.1219,1,Centro,5488.0,25.99,7320.0,10787.0,,1.97,2724.0,1693.0,4820.25,16.641666666666666
2022,13.0,CORTES,591874.1219,1,Centro,,27.54,4360.0,10828.0,,,,,5108.2,18.62
2005,13.0,CORTES,591874.1219,1,Centro,,23.49,,11538.0,,,,,,
2006,13.0,CORTES,591874.1219,1,Centro,,24.46,,11597.0,,,,,,
2007,13.0,CORTES,591874.1219,1,Centro,,21.8,,10810.0,,,,,4497.571428571428,
2008,13.0,CORTES,591874.1219,1,Centro,,22.29,,10884.0,,,,,4293.166666666667,18.166666666666668
2009,13.0,CORTES,591874.1219,1,Centro,,23.37,,11049.0,,,,,4093.4166666666665,16.516666666666666
2010,14.0,JUSTICIA,739414.338,1,Centro,,23.65,,17412.0,,,,2342.0,3999.6666666666665,15.533333333333331
2011,14.0,JUSTICIA,739414.338,1,Centro,,23.43,,17330.0,,,,2376.0,3881.8333333333335,15.091666666666669
2012,14.0,JUSTICIA,739414.338,1,Centro,,21.17,1076.0,17046.0,,,,1985.0,3571.1666666666665,14.258333333333333
2013,14.0,JUSTICIA,739414.338,1,Centro,,20.98,12995.0,16996.0,36413.5358867178,,,2052.0,3289.833333333333,13.408333333333331
2014,14.0,JUSTICIA,739414.338,1,Centro,,19.75,11991.0,16622.0,35913.3274475179,,5131.0,2368.0,3278.0,13.491666666666667
2015,14.0,JUSTICIA,739414.338,1,Centro,,18.63,11246.0,16183.0,40314.882263767,,4941.0,2448.0,3423.833333333333,14.05
2016,14.0,JUSTICIA,739414.338,1,Centro,,18.53,10478.0,16420.0,41584.0,,5242.0,2417.0,3666.3333333333335,15.666666666666666
2017,14.0,JUSTICIA,739414.338,1,Centro,,19.37,9621.0,16374.0,43045.0,,5731.0,2622.0,4135.583333333333,17.466666666666665
2018,14.0,JUSTICIA,739414.338,1,Centro,,20.57,9187.0,16578.0,48203.0,,2896.0,1801.0,4874.083333333333,18.416666666666668
2019,14.0,JUSTICIA,739414.338,1,Centro,8582.0,21.38,9393.0,17153.0,,2.0,5190.0,2766.0,5024.0,18.566666666666663
2020,14.0,JUSTICIA,739414.338,1,Centro,8856.0,22.43,11897.0,18021.0,,2.03,2652.0,2895.0,4994.833333333333,18.325
2021,14.0,JUSTICIA,739414.338,1,Centro,8927.0,23.82,12061.0,18208.0,,2.04,2724.0,2759.0,4820.25,16.641666666666666
2022,14.0,JUSTICIA,739414.338,1,Centro,,24.95,9208.0,18015.0,,,,,5108.2,18.62
2005,14.0,JUSTICIA,739414.338,1,Centro,,23.67,,17656.0,,,,,,
2006,14.0,JUSTICIA,739414.338,1,Centro,,24.53,,17699.0,,,,,,
2007,14.0,JUSTICIA,739414.338,1,Centro,,22.25,,16792.0,,,,,4497.571428571428,
2008,14.0,JUSTICIA,739414.338,1,Centro,,22.65,,17057.0,,,,,4293.166666666667,18.166666666666668
2009,14.0,JUSTICIA,739414.338,1,Centro,,23.31,,17171.0,,,,,4093.4166666666665,16.516666666666666
