Anyo,codigo_distrito,codigo_barrio,tasa_extranjeros
2005,1,11,18.99
2005,1,12,31.74
2005,1,13,23.49
2005,1,14,23.67
2005,1,15,27.59
2005,1,16,32.65
2005,2,21,8.73
2005,2,22,10.13
2005,2,23,21.31
2005,2,24,11.27
2005,2,25,19.86
2005,2,26,22.68
2005,2,27,6.79
2005,3,31,11.14
2005,3,32,9.49
2005,3,33,4.6
2005,3,34,11.73
2005,3,35,9.4
2005,3,36,5.6
2005,4,41,14.32
2005,4,42,12.97
2005,4,43,15.17
2005,4,44,10.68
2005,4,45,14.33
2005,4,46,12.76
2005,5,51,12.95
2005,5,52,10.98
2005,5,53,15.54
2005,5,54,8.22
2005,5,55,11.28
2005,5,56,8.76
2005,6,61,25.68
2005,6,62,17.54
2005,6,63,17.18
2005,6,64,11.74
2005,6,65,19.18
2005,6,66,23.99
2005,7,71,13.98
2005,7,72,15.11
2005,7,73,17.01
2005,7,74,14.57
2005,7,75,14.9
2005,7,76,6.91
2005,8,81,1.74
2005,8,82,9.22
2005,8,83,7.4
2005,8,84,11.21
2005,8,85,5.35
2005,8,86,9.88
2005,8,87,8.04
2005,8,88,11.27
2005,9,91,11.64
2005,9,92,14.31
2005,9,93,11.56
2005,9,94,10.63
2005,9,95,15.21
2005,9,96,13.64
2005,9,97,12.61
2005,10,101,13.38
2005,10,102,18.36
2005,10,103,15.16
2005,10,104,14.64
2005,10,105,15.41
2005,10,106,2.57
2005,10,107,9.65
2005,11,111,17.49
2005,11,112,18.47
2005,11,113,19.21
2005,11,114,20.07
2005,11,115,19.76
2005,11,116,15.27
2005,11,117,19.01
2005,12,121,4.74
2005,12,122,8.11
2005,12,123,17.06
2005,12,124,27.01
2005,12,125,21.52
2005,12,126,20.91
2005,12,127,26.25
2005,13,131,8.94
2005,13,132,26.03
2005,13,133,11.06
2005,13,134,9.83
2005,13,135,10.44
2005,13,136,19.75
2005,14,141,6.81
2005,14,142,5.94
2005,14,143,6.34
2005,14,144,6.27
2005,14,145,12.1
2005,14,146,10.27
2005,15,151,18.17
2005,15,152,18.94
2005,15,153,18.15
2005,15,154,15.17
2005,15,155,7.99
2005,15,156,8.39
2005,15,157,9.85
2005,15,158,12.51
2005,15,159,6.07
2005,16,161,8.95
2005,16,162,16.51
2005,16,163,7.9
2005,16,164,9.8
2005,16,165,6.24
2005,16,166,8.79
2005,17,171,14.89
2005,17,172,37.04
2005,17,173,13.84
2005,17,174,17.99
2005,17,175,13.06
2005,18,181,15.02
2005,18,182,8.13
2005,19,191,10.53
2005,20,201,18.77
2005,20,202,6.65
2005,20,203,9.85
2005,20,204,7.17
2005,20,205,6.24
2005,20,206,10.95
2005,20,207,13.3
2005,20,208,8.24
2005,21,211,6.36
2005,21,212,21.0
2005,21,213,18.07
2005,21,214,9.39
2005,21,215,7.55
2006,1,11,20.04
2006,1,12,33.85
2006,1,13,24.46
2006,1,14,24.53
2006,1,15,29.1
2006,1,16,33.71
2006,2,21,9.38
2006,2,22,10.88
2006,2,23,22.6
2006,2,24,13.29
2006,2,25,20.39
2006,2,26,23.61
2006,2,27,4.84
2006,3,31,11.89
2006,3,32,10.46
2006,3,33,4.89
2006,3,34,12.77
2006,3,35,10.3
2006,3,36,6.29
2006,4,41,15.96
2006,4,42,13.84
2006,4,43,15.91
2006,4,44,11.98
2006,4,45,15.14
2006,4,46,13.96
2006,5,51,14.01
2006,5,52,11.93
2006,5,53,17.02
2006,5,54,9.11
2006,5,55,12.35
2006,5,56,9.66
2006,6,61,27.25
2006,6,62,18.81
2006,6,63,18.41
2006,6,64,14.06
2006,6,65,20.95
2006,6,66,25.45
2006,7,71,15.24
2006,7,72,16.09
2006,7,73,18.28
2006,7,74,15.95
2006,7,75,15.99
2006,7,76,7.6
2006,8,81,2.64
2006,8,82,10.23
2006,8,83,8.31
2006,8,84,12.25
2006,8,85,6.08
