Anyo,codigo_distrito,codigo_barrio,parados
2012,1,11,1680.0
2012,1,12,4328.0
2012,1,13,829.0
2012,1,14,1076.0
2012,1,15,2509.0
2012,1,16,572.0
2012,2,21,1452.0
2012,2,22,2310.0
2012,2,23,1690.0
2012,2,24,958.0
2012,2,25,1844.0
2012,2,26,2083.0
2012,2,27,79.0
2012,3,31,2021.0
2012,3,32,1036.0
2012,3,33,989.0
2012,3,34,1157.0
2012,3,35,303.0
2012,3,36,593.0
2012,4,41,571.0
2012,4,42,1464.0
2012,4,43,1273.0
2012,4,44,2218.0
2012,4,45,1134.0
2012,4,46,571.0
2012,5,51,457.0
2012,5,52,2280.0
2012,5,53,1130.0
2012,5,54,1179.0
2012,5,55,813.0
2012,5,56,744.0
2012,6,61,2307.0
2012,6,62,2138.0
2012,6,63,1211.0
2012,6,64,2068.0
2012,6,65,2117.0
2012,6,66,1949.0
2012,7,71,1221.0
2012,7,72,1351.0
2012,7,73,1514.0
2012,7,74,783.0
2012,7,75,1394.0
2012,7,76,792.0
2012,8,81,187.0
2012,8,82,108.0
2012,8,83,2831.0
2012,8,84,3103.0
2012,8,85,1747.0
2012,8,86,3614.0
2012,8,87,1126.0
2012,8,88,496.0
2012,9,91,705.0
2012,9,92,1237.0
2012,9,93,636.0
2012,9,94,2084.0
2012,9,95,146.0
2012,9,96,71.0
2012,9,97,982.0
2012,10,101,1649.0
2012,10,102,3887.0
2012,10,103,3126.0
2012,10,104,5124.0
2012,10,105,1337.0
2012,10,106,324.0
2012,10,107,3867.0
2012,11,111,2014.0
2012,11,112,2768.0
2012,11,113,3934.0
2012,11,114,4094.0
2012,11,115,3232.0
2012,11,116,3493.0
2012,11,117,2667.0
2012,12,121,2134.0
2012,12,122,1544.0
2012,12,123,2299.0
2012,12,124,1902.0
2012,12,125,2359.0
2012,12,126,1304.0
2012,12,127,1603.0
2012,13,131,4076.0
2012,13,132,4437.0
2012,13,133,3700.0
2012,13,134,4425.0
2012,13,135,3014.0
2012,13,136,5003.0
2012,14,141,738.0
2012,14,142,460.0
2012,14,143,1804.0
2012,14,144,1443.0
2012,14,145,1504.0
2012,14,146,1246.0
2012,15,151,3796.0
2012,15,152,5085.0
2012,15,153,1949.0
2012,15,154,1316.0
2012,15,155,1179.0
2012,15,156,570.0
2012,15,157,316.0
2012,15,158,68.0
2012,15,159,1000.0
2012,16,161,258.0
2012,16,162,496.0
2012,16,163,2642.0
2012,16,164,3796.0
2012,16,165,1122.0
2012,16,166,2198.0
2012,17,171,4984.0
2012,17,172,2150.0
2012,17,173,1575.0
2012,17,174,3686.0
2012,17,175,2846.0
2012,18,181,7312.0
2012,18,182,2272.0
2012,19,191,4064.0
2012,20,201,2277.0
2012,20,202,851.0
2012,20,203,917.0
2012,20,204,2214.0
2012,20,205,1932.0
2012,20,206,852.0
2012,20,207,2337.0
2012,20,208,599.0
2012,21,211,999.0
2012,21,212,153.0
2012,21,213,583.0
2012,21,214,601.0
2012,21,215,294.0
2013,1,11,20532.0
2013,1,12,53003.0
2013,1,13,10063.0
2013,1,14,12995.0
2013,1,15,30645.0
2013,1,16,7148.0
2013,2,21,17492.0
2013,2,22,28167.0
2013,2,23,20326.0
2013,2,24,11747.0
2013,2,25,22200.0
2013,2,26,24672.0
2013,2,27,977.0
2013,3,31,24944.0
2013,3,32,12820.0
2013,3,33,12007.0
2013,3,34,13962.0
2013,3,35,3364.0
2013,3,36,7399.0
2013,4,41,7509.0
2013,4,42,17808.0
2013,4,43,15291.0
2013,4,44,26804.0
2013,4,45,13200.0
2013,4,46,6659.0
2013,5,51,5891.0
2013,5,52,27764.0
2013,5,53,13837.0
2013,5,54,14979.0
2013,5,55,10504.0
2013,5,56,9416.0
2013,6,61,28200.0
2013,6,62,26101.0
2013,6,63,14486.0
2013,6,64,25633.0
2013,6,65,26201.0
2013,6,66,24060.0
2013,7,71,14777.0
2013,7,72,16379.0
2013,7,73,18156.0
2013,7,74,9309.0
2013,7,75,16590.0
2013,7,76,9911.0
2013,8,81,2210.0
2013,8,82,1156.0
2013,8,83,34747.0
2013,8,84,38304.0
2013,8,85,21054.0
2013,8,86,44232.0
2013,8,87,13737.0
2013,8,88,6686.0
2013,9,91,8688.0
2013,9,92,14849.0
2013,9,93,7739.0
2013,9,94,25204.0
2013,9,95,1893.0
2013,9,96,763.0
2013,9,97,11939.0
2013,10,101,20315.0
2013,10,102,46885.0
2013,10,103,38208.0
2013,10,104,63279.0
2013,10,105,17299.0
2013,10,106,4103.0
2013,10,107,48339.0
2013,11,111,24206.0
2013,11,112,34338.0
2013,11,113,49420.0
2013,11,114,50108.0
2013,11,115,40690.0
2013,11,116,43257.0
2013,11,117,33456.0
2013,12,121,26207.0
2013,12,122,19304.0
2013,12,123,27802.0
2013,12,124,23622.0
2013,12,125,28495.0
2013,12,126,16317.0
2013,12,127,19744.0
2013,13,131,50458.0
2013,13,132,54623.0
2013,13,133,46591.0
2013,13,134,54393.0
2013,13,135,37430.0
2013,13,136,61969.0
2013,14,141,9387.0
2013,14,142,5800.0
2013,14,143,22373.0
2013,14,144,17382.0
2013,14,145,18113.0
2013,14,146,15726.0
2013,15,151,47147.0
2013,15,152,62701.0
2013,15,153,23316.0
2013,15,154,16768.0
2013,15,155,14803.0
2013,15,156,7165.0
2013,15,157,3847.0
2013,15,158,831.0
2013,15,159,12171.0
2013,16,161,3140.0
2013,16,162,6072.0
2013,16,163,32601.0
2013,16,164,48306.0
2013,16,165,13697.0
2013,16,166,27335.0
2013,17,171,62341.0
2013,17,172,26573.0
2013,17,173,19110.0
2013,17,174,45218.0
2013,17,175,35203.0
2013,18,181,90496.0
2013,18,182,27797.0
2013,19,191,46247.0
2013,20,201,26076.0
2013,20,202,10362.0
2013,20,203,10494.0
2013,20,204,25642.0
2013,20,205,22087.0
2013,20,206,9822.0
2013,20,207,26272.0
2013,20,208,6849.0
2013,21,211,11174.0
2013,21,212,1823.0
2013,21,213,6804.0
2013,21,214,6991.0
2013,21,215,3343.0
2014,1,11,19094.0
2014,1,12,48652.0
2014,1,13,9474.0
2014,1,14,11991.0
2014,1,15,28071.0
2014,1,16,6340.0
2014,2,21,16480.0
2014,2,22,26628.0
2014,2,23,18624.0
2014,2,24,11316.0
2014,2,25,20660.0
2014,2,26,22302.0
2014,2,27,813.0
2014,3,31,22795.0
2014,3,32,12549.0
2014,3,33,11236.0
2014,3,34,13226.0
2014,3,35,3077.0
2014,3,36,6466.0
2014,4,41,6679.0
2014,4,42,16179.0
2014,4,43,14168.0
2014,4,44,24870.0
2014,4,45,11161.0
2014,4,46,5940.0
2014,5,51,5354.0
2014,5,52,24970.0
2014,5,53,12610.0
2014,5,54,14379.0
2014,5,55,9444.0
2014,5,56,8573.0
2014,6,61,26748.0
2014,6,62,24401.0
2014,6,63,13228.0
2014,6,64,24973.0
2014,6,65,25376.0
2014,6,66,22625.0
2014,7,71,13429.0
2014,7,72,15260.0
2014,7,73,15932.0
2014,7,74,8782.0
2014,7,75,15539.0
2014,7,76,9361.0
2014,8,81,2156.0
2014,8,82,945.0
2014,8,83,32434.0
2014,8,84,35865.0
2014,8,85,19296.0
2014,8,86,42081.0
2014,8,87,12738.0
2014,8,88,6225.0
2014,9,91,8183.0
2014,9,92,13625.0
2014,9,93,6822.0
2014,9,94,23896.0
2014,9,95,1720.0
2014,9,96,725.0
2014,9,97,11388.0
2014,10,101,19069.0
2014,10,102,44212.0
2014,10,103,35625.0
2014,10,104,59175.0
2014,10,105,16787.0
2014,10,106,3488.0
2014,10,107,45523.0
2014,11,111,23232.0
2014,11,112,33061.0
2014,11,113,47415.0
2014,11,114,46854.0
2014,11,115,38219.0
2014,11,116,40291.0
2014,11,117,32467.0
2014,12,121,25372.0
2014,12,122,18878.0
2014,12,123,26119.0
2014,12,124,22060.0
2014,12,125,26147.0
2014,12,126,15276.0
2014,12,127,18286.0
2014,13,131,48125.0
2014,13,132,52110.0
2014,13,133,44170.0
2014,13,134,52132.0
2014,13,135,36150.0
2014,13,136,60235.0
2014,14,141,9069.0
2014,14,142,5625.0
2014,14,143,21592.0
2014,14,144,17029.0
2014,14,145,17298.0
2014,14,146,14237.0
2014,15,151,44790.0
2014,15,152,59427.0
2014,15,153,23060.0
2014,15,154,16315.0
2014,15,155,14140.0
2014,15,156,6757.0
2014,15,157,3540.0
2014,15,158,829.0
2014,15,159,11958.0
2014,16,161,2903.0
2014,16,162,5808.0
2014,16,163,30094.0
2014,16,164,45677.0
2014,16,165,13532.0
2014,16,166,26369.0
2014,17,171,60117.0
2014,17,172,25430.0
2014,17,173,17851.0
2014,17,174,42767.0
2014,17,175,32937.0
2014,18,181,85876.0
2014,18,182,26089.0
2014,19,191,49062.0
2014,20,201,27653.0
2014,20,202,11033.0
2014,20,203,11219.0
2014,20,204,26353.0
2014,20,205,22751.0
2014,20,206,10458.0
2014,20,207,27745.0
2014,20,208,7224.0
2014,21,211,11960.0
2014,21,212,1875.0
2014,21,213,7188.0
2014,21,214,7253.0
2014,21,215,3352.0
2015,1,11,17572.0
2015,1,12,44262.0
2015,1,13,8728.0
2015,1,14,11246.0
2015,1,15,25641.0
2015,1,16,5979.0
2015,2,21,16166.0
2015,2,22,24006.0
2015,2,23,17061.0
2015,2,24,10430.0
2015,2,25,18605.0
2015,2,26,20560.0
2015,2,27,791.0
2015,3,31,19730.0
2015,3,32,11865.0
2015,3,33,9900.0
2015,3,34,11903.0
2015,3,35,2666.0
2015,3,36,6073.0
2015,4,41,5507.0
2015,4,42,14930.0
2015,4,43,12756.0
2015,4,44,22651.0
2015,4,45,10345.0
2015,4,46,5563.0
2015,5,51,4920.0
2015,5,52,23587.0
2015,5,53,11730.0
2015,5,54,12938.0
2015,5,55,8565.0
2015,5,56,7699.0
2015,6,61,24496.0
2015,6,62,21939.0
2015,6,63,12176.0
2015,6,64,23359.0
2015,6,65,23136.0
2015,6,66,21544.0
2015,7,71,12500.0
2015,7,72,13787.0
2015,7,73,14408.0
2015,7,74,8009.0
2015,7,75,13477.0
2015,7,76,8358.0
2015,8,81,2106.0
2015,8,82,1076.0
2015,8,83,28711.0
2015,8,84,32543.0
2015,8,85,16764.0
2015,8,86,39219.0
2015,8,87,11733.0
2015,8,88,5709.0
2015,9,91,7824.0
2015,9,92,12092.0
2015,9,93,6453.0
2015,9,94,21527.0
2015,9,95,1511.0
2015,9,96,814.0
2015,9,97,10237.0
2015,10,101,18563.0
2015,10,102,41681.0
2015,10,103,33184.0
2015,10,104,53833.0
2015,10,105,15248.0
2015,10,106,3418.0
2015,10,107,40914.0
2015,11,111,21051.0
2015,11,112,31107.0
2015,11,113,44386.0
2015,11,114,43632.0
2015,11,115,34992.0
2015,11,116,36899.0
2015,11,117,29568.0
2015,12,121,23277.0
2015,12,122,18157.0
2015,12,123,25391.0
2015,12,124,20874.0
2015,12,125,24363.0
2015,12,126,14958.0
2015,12,127,16860.0
2015,13,131,45380.0
2015,13,132,49302.0
2015,13,133,41041.0
2015,13,134,48585.0
2015,13,135,33855.0
2015,13,136,56401.0
2015,14,141,8686.0
2015,14,142,5148.0
2015,14,143,20229.0
2015,14,144,15995.0
2015,14,145,16315.0
2015,14,146,12642.0
2015,15,151,42121.0
2015,15,152,54908.0
2015,15,153,21974.0
2015,15,154,15076.0
2015,15,155,12610.0
2015,15,156,6337.0
2015,15,157,3141.0
2015,15,158,767.0
2015,15,159,11248.0
2015,16,161,2711.0
2015,16,162,5306.0
2015,16,163,27193.0
2015,16,164,42921.0
2015,16,165,13087.0
2015,16,166,25053.0
2015,17,171,56344.0
2015,17,172,23642.0
2015,17,173,15274.0
2015,17,174,40366.0
2015,17,175,30019.0
2015,18,181,79791.0
2015,18,182,23334.0
2015,19,191,46021.0
2015,20,201,25788.0
2015,20,202,10708.0
2015,20,203,10837.0
2015,20,204,24735.0
2015,20,205,20536.0
2015,20,206,9706.0
2015,20,207,26932.0
2015,20,208,6685.0
2015,21,211,10556.0
2015,21,212,1642.0
2015,21,213,6893.0
2015,21,214,6735.0
2015,21,215,3018.0
2016,1,11,16933.0
2016,1,12,40935.0
2016,1,13,8239.0
2016,1,14,10478.0
2016,1,15,23046.0
2016,1,16,5797.0
2016,2,21,14343.0
2016,2,22,22183.0
2016,2,23,15402.0
2016,2,24,9285.0
2016,2,25,16923.0
2016,2,26,18779.0
2016,2,27,801.0
2016,3,31,18200.0
2016,3,32,11061.0
2016,3,33,8912.0
2016,3,34,10292.0
2016,3,35,2458.0
2016,3,36,5431.0
2016,4,41,5116.0
2016,4,42,13564.0
2016,4,43,12022.0
2016,4,44,20764.0
2016,4,45,9369.0
2016,4,46,5263.0
2016,5,51,4932.0
2016,5,52,21408.0
2016,5,53,11033.0
2016,5,54,12136.0
2016,5,55,8039.0
2016,5,56,7289.0
2016,6,61,22332.0
2016,6,62,19531.0
2016,6,63,11176.0
2016,6,64,21854.0
2016,6,65,21580.0
2016,6,66,19648.0
2016,7,71,11980.0
2016,7,72,12238.0
2016,7,73,13349.0
2016,7,74,7307.0
2016,7,75,12096.0
2016,7,76,7396.0
2016,8,81,1955.0
2016,8,82,1007.0
2016,8,83,26355.0
2016,8,84,29670.0
2016,8,85,14855.0
