Anyo,codigo_distrito,codigo_barrio,poblacion
2005,1,11,24786
2005,1,12,50917
2005,1,13,11538
2005,1,14,17656
2005,1,15,34994
2005,1,16,8774
2005,2,21,22794
2005,2,22,37495
2005,2,23,22257
2005,2,24,9305
2005,2,25,25110
2005,2,26,28640
2005,2,27,1162
2005,3,31,37044
2005,3,32,16403
2005,3,33,24927
2005,3,34,23609
2005,3,35,7705
2005,3,36,16319
2005,4,41,15614
2005,4,42,31274
2005,4,43,22998
2005,4,44,41896
2005,4,45,22236
2005,4,46,16671
2005,5,51,15513
2005,5,52,37430
2005,5,53,18507
2005,5,54,30369
2005,5,55,22479
2005,5,56,16904
2005,6,61,28758
2005,6,62,36105
2005,6,63,20894
2005,6,64,18407
2005,6,65,23363
2005,6,66,22781
2005,7,71,25603
2005,7,72,27579
2005,7,73,27198
2005,7,74,20571
2005,7,75,28441
2005,7,76,21322
2005,8,81,3908
2005,8,82,3391
2005,8,83,46385
2005,8,84,51220
2005,8,85,37599
2005,8,86,34788
2005,8,87,27091
2005,8,88,2228
2005,9,91,14136
2005,9,92,26126
2005,9,93,17178
2005,9,94,32495
2005,9,95,3583
2005,9,96,2404
2005,9,97,22825
2005,10,101,18062
2005,10,102,44883
2005,10,103,38141
2005,10,104,76426
2005,10,105,20896
2005,10,106,1012
2005,10,107,57922
2005,11,111,24850
2005,11,112,33902
2005,11,113,40128
2005,11,114,48791
2005,11,115,34672
2005,11,116,27531
2005,11,117,29843
2005,12,121,21311
2005,12,122,11911
2005,12,123,20639
2005,12,124,19700
2005,12,125,26911
2005,12,126,14485
2005,12,127,17137
2005,13,131,37271
2005,13,132,41596
2005,13,133,41415
2005,13,134,42249
2005,13,135,30336
2005,13,136,48720
2005,14,141,9996
2005,14,142,6105
2005,14,143,31867
2005,14,144,20744
2005,14,145,18769
2005,14,146,19349
2005,15,151,53164
2005,15,152,64979
2005,15,153,26167
2005,15,154,22082
2005,15,155,20397
2005,15,156,12803
2005,15,157,6270
2005,15,158,1709
2005,15,159,23338
2005,16,161,5219
2005,16,162,13724
2005,16,163,44853
2005,16,164,58983
2005,16,165,16209
2005,16,166,14801
2005,17,171,43604
2005,17,172,16550
2005,17,173,12098
2005,17,174,37125
2005,17,175,33979
2005,18,181,38516
2005,18,182,27316
2005,19,191,44049
2005,20,201,25153
2005,20,202,9748
2005,20,203,9088
2005,20,204,23940
2005,20,205,29649
2005,20,206,7744
2005,20,207,31283
2005,20,208,12355
2005,21,211,19969
2005,21,212,2289
2005,21,213,7722
2005,21,214,7501
2005,21,215,4699
2006,1,11,24811
2006,1,12,51527
2006,1,13,11597
2006,1,14,17699
2006,1,15,35349
2006,1,16,8735
2006,2,21,22942
2006,2,22,37727
2006,2,23,22200
2006,2,24,10276
2006,2,25,25550
2006,2,26,28986
2006,2,27,1116
2006,3,31,36959
2006,3,32,16705
2006,3,33,24646
2006,3,34,23606
2006,3,35,7722
2006,3,36,16340
2006,4,41,15871
2006,4,42,31189
2006,4,43,22954
2006,4,44,42202
2006,4,45,22200
2006,4,46,16838
2006,5,51,15686
2006,5,52,37515
2006,5,53,18623
2006,5,54,30535
2006,5,55,22867
2006,5,56,16819
2006,6,61,28953
2006,6,62,36412
2006,6,63,20893
2006,6,64,19759
2006,6,65,23606
2006,6,66,22992
2006,7,71,25630
2006,7,72,27404
2006,7,73,27169
2006,7,74,20725
2006,7,75,28519
2006,7,76,21184
2006,8,81,3867
2006,8,82,3334
2006,8,83,46377
2006,8,84,50536
2006,8,85,37251
2006,8,86,37044
2006,8,87,27280
2006,8,88,3566
2006,9,91,14190
2006,9,92,26265
2006,9,93,17125
2006,9,94,32119
2006,9,95,4000
2006,9,96,2469
2006,9,97,23154
2006,10,101,18132
2006,10,102,45414
2006,10,103,38834
2006,10,104,76164
2006,10,105,20826
2006,10,106,1588
2006,10,107,57803
2006,11,111,24856
2006,11,112,33969
2006,11,113,40504
2006,11,114,49360
2006,11,115,35336
2006,11,116,31349
2006,11,117,30702
2006,12,121,21946
2006,12,122,12094
2006,12,123,21716
2006,12,124,20528
2006,12,125,27386
2006,12,126,14704
2006,12,127,17502
2006,13,131,37390
2006,13,132,42133
2006,13,133,41909
2006,13,134,42690
2006,13,135,30211
2006,13,136,49141
2006,14,141,10125
2006,14,142,6361
2006,14,143,31387
2006,14,144,20544
2006,14,145,18741
2006,14,146,19186
2006,15,151,52934
2006,15,152,65309
2006,15,153,26452
2006,15,154,22119
2006,15,155,20219
2006,15,156,12942
2006,15,157,6313
2006,15,158,1708
2006,15,159,23368
2006,16,161,5468
2006,16,162,14053
2006,16,163,44589
2006,16,164,58640
2006,16,165,16292
2006,16,166,19179
2006,17,171,44186
2006,17,172,16999
2006,17,173,13837
2006,17,174,33971
2006,17,175,37866
2006,18,181,39534
2006,18,182,27312
2006,19,191,46542
2006,20,201,25953
2006,20,202,9690
2006,20,203,9201
2006,20,204,24195
2006,20,205,30457
2006,20,206,8746
2006,20,207,31272
2006,20,208,12398
2006,21,211,20440
2006,21,212,2284
2006,21,213,7858
2006,21,214,7764
2006,21,215,5077
2007,1,11,23580
2007,1,12,49197
2007,1,13,10810
2007,1,14,16792
2007,1,15,33011
2007,1,16,8006
2007,2,21,23171
2007,2,22,37879
2007,2,23,21927
2007,2,24,11778
2007,2,25,25860
2007,2,26,27834
2007,2,27,1128
2007,3,31,36312
2007,3,32,16884
2007,3,33,24653
2007,3,34,23190
2007,3,35,7502
2007,3,36,15989
2007,4,41,15200
2007,4,42,30149
2007,4,43,22193
2007,4,44,41381
2007,4,45,21378
2007,4,46,16462
2007,5,51,15977
2007,5,52,37985
2007,5,53,18791
2007,5,54,30991
2007,5,55,23083
2007,5,56,16951
2007,6,61,28836
2007,6,62,34900
2007,6,63,20519
2007,6,64,20899
2007,6,65,23937
2007,6,66,23115
2007,7,71,24596
2007,7,72,26272
2007,7,73,26232
2007,7,74,20189
2007,7,75,27682
2007,7,76,20622
2007,8,81,3753
2007,8,82,3288
2007,8,83,45521
2007,8,84,50199
2007,8,85,37153
2007,8,86,39707
2007,8,87,27409
2007,8,88,5680
2007,9,91,13741
2007,9,92,25463
2007,9,93,16386
2007,9,94,31363
2007,9,95,4439
2007,9,96,2466
2007,9,97,23498
2007,10,101,17847
2007,10,102,44979
2007,10,103,38639
2007,10,104,74912
2007,10,105,20931
2007,10,106,2197
2007,10,107,57139
2007,11,111,24117
2007,11,112,33486
2007,11,113,40122
2007,11,114,48499
2007,11,115,35350
2007,11,116,35919
2007,11,117,30857
2007,12,121,21990
2007,12,122,12544
2007,12,123,22011
2007,12,124,21039
2007,12,125,26941
2007,12,126,14444
2007,12,127,17422
2007,13,131,36999
2007,13,132,41674
2007,13,133,41894
2007,13,134,42983
2007,13,135,29836
2007,13,136,48521
2007,14,141,10215
2007,14,142,6453
2007,14,143,30823
2007,14,144,20285
2007,14,145,18530
2007,14,146,18617
2007,15,151,51686
2007,15,152,64447
2007,15,153,25807
2007,15,154,21682
2007,15,155,19763
2007,15,156,12778
2007,15,157,6156
2007,15,158,1646
2007,15,159,22840
2007,16,161,5742
2007,16,162,14113
2007,16,163,43777
2007,16,164,57835
2007,16,165,16048
2007,16,166,24146
2007,17,171,44107
2007,17,172,16595
2007,17,173,14455
2007,17,174,37610
2007,17,175,33417
2007,18,181,39978
2007,18,182,27185
2007,19,191,46007
2007,20,201,26157
2007,20,202,9717
2007,20,203,9132
2007,20,204,24290
2007,20,205,30793
2007,20,206,9795
2007,20,207,31059
2007,20,208,12185
2007,21,211,20327
2007,21,212,2204
2007,21,213,7809
2007,21,214,7813
2007,21,215,5545
2008,1,11,23723
2008,1,12,49593
2008,1,13,10884
2008,1,14,17057
2008,1,15,32966
2008,1,16,8047
2008,2,21,23232
2008,2,22,37951
2008,2,23,22054
2008,2,24,13612
2008,2,25,26695
2008,2,26,28099
2008,2,27,1101
2008,3,31,36194
2008,3,32,17059
2008,3,33,24528
2008,3,34,23114
2008,3,35,7402
2008,3,36,15961
2008,4,41,15364
2008,4,42,30446
2008,4,43,22328
2008,4,44,41633
2008,4,45,21255
2008,4,46,16681
2008,5,51,16233
2008,5,52,38159
2008,5,53,18828
2008,5,54,31409
2008,5,55,23447
2008,5,56,17012
2008,6,61,29567
2008,6,62,34883
2008,6,63,20619
2008,6,64,21470
2008,6,65,24409
2008,6,66,23522
2008,7,71,24587
2008,7,72,26233
2008,7,73,26396
2008,7,74,20277
2008,7,75,27910
2008,7,76,20531
2008,8,81,3657
2008,8,82,3254
2008,8,83,45968
2008,8,84,50079
2008,8,85,36626
2008,8,86,44695
2008,8,87,27778
2008,8,88,8028
2008,9,91,13559
2008,9,92,25142
2008,9,93,16272
2008,9,94,31299
2008,9,95,4835
2008,9,96,2513
2008,9,97,24448
2008,10,101,17976
2008,10,102,45783
2008,10,103,38953
2008,10,104,74582
2008,10,105,21048
2008,10,106,2825
2008,10,107,57309
2008,11,111,24310
2008,11,112,33695
2008,11,113,40414
2008,11,114,48665
2008,11,115,35768
2008,11,116,39505
2008,11,117,31321
2008,12,121,22131
2008,12,122,12844
2008,12,123,22664
2008,12,124,22171
2008,12,125,27392
2008,12,126,14684
2008,12,127,17708
2008,13,131,37028
2008,13,132,42460
2008,13,133,41967
2008,13,134,43616
2008,13,135,29863
2008,13,136,49217
2008,14,141,10128
2008,14,142,6550
2008,14,143,30585
2008,14,144,20190
2008,14,145,18507
2008,14,146,18534
2008,15,151,52003
2008,15,152,65172
2008,15,153,25946
2008,15,154,21952
2008,15,155,19682
2008,15,156,12739
2008,15,157,6224
2008,15,158,1651
2008,15,159,22802
2008,16,161,6222
2008,16,162,14628
2008,16,163,43806
2008,16,164,57956
2008,16,165,15988
2008,16,166,30102
2008,17,171,44582
2008,17,172,16793
2008,17,173,14666
2008,17,174,38491
2008,17,175,33720
2008,18,181,46139
2008,18,182,27142
2008,19,191,48009
2008,20,201,26300
2008,20,202,9761
2008,20,203,9147
2008,20,204,24516
2008,20,205,31299
2008,20,206,11265
2008,20,207,31222
2008,20,208,12285
2008,21,211,20441
2008,21,212,2160
2008,21,213,7784
2008,21,214,7913
2008,21,215,5976
2009,1,11,23713
2009,1,12,50196
2009,1,13,11049
2009,1,14,17171
2009,1,15,33421
2009,1,16,8124
2009,2,21,23228
2009,2,22,38203
2009,2,23,21862
2009,2,24,14934
2009,2,25,26989
2009,2,26,28065
2009,2,27,1064
2009,3,31,36015
2009,3,32,17325
2009,3,33,24395
2009,3,34,22944
2009,3,35,7325
2009,3,36,15965
2009,4,41,15398
2009,4,42,30327
2009,4,43,22214
2009,4,44,41897
2009,4,45,21341
2009,4,46,16784
2009,5,51,16561
2009,5,52,38297
2009,5,53,18951
2009,5,54,31642
2009,5,55,23768
2009,5,56,17128
2009,6,61,29886
2009,6,62,34846
2009,6,63,20787
2009,6,64,21920
2009,6,65,24995
2009,6,66,24224
2009,7,71,24340
2009,7,72,26166
2009,7,73,26415
2009,7,74,20252
2009,7,75,28068
2009,7,76,20553
2009,8,81,3583
2009,8,82,3231
2009,8,83,46095
2009,8,84,49819
2009,8,85,36319
2009,8,86,48556
2009,8,87,28450
2009,8,88,9901
2009,9,91,13406
2009,9,92,25069
2009,9,93,16117
2009,9,94,31156
2009,9,95,5276
2009,9,96,2539
2009,9,97,25161
2009,10,101,18007
2009,10,102,45938
2009,10,103,38931
2009,10,104,74042
2009,10,105,20860
2009,10,106,3382
2009,10,107,56852
2009,11,111,24461
2009,11,112,33809
2009,11,113,40764
2009,11,114,48724
2009,11,115,35956
2009,11,116,41798
2009,11,117,31461
2009,12,121,22401
2009,12,122,13202
2009,12,123,23028
2009,12,124,22562
2009,12,125,27534
2009,12,126,14623
2009,12,127,17839
2009,13,131,37060
2009,13,132,43145
2009,13,133,42052
2009,13,134,43894
2009,13,135,29650
2009,13,136,49379
2009,14,141,10008
2009,14,142,6595
2009,14,143,30330
2009,14,144,20026
2009,14,145,18337
2009,14,146,18408
2009,15,151,52265
2009,15,152,65415
2009,15,153,25989
2009,15,154,22017
2009,15,155,19782
2009,15,156,12831
2009,15,157,6272
2009,15,158,1691
2009,15,159,23028
2009,16,161,6484
2009,16,162,14972
2009,16,163,43780
2009,16,164,57635
2009,16,165,16069
2009,16,166,33448
2009,17,171,45324
2009,17,172,16890
2009,17,173,15025
2009,17,174,38910
2009,17,175,33578
2009,18,181,53797
2009,18,182,26914
2009,19,191,49157
2009,20,201,26646
2009,20,202,9737
2009,20,203,9122
2009,20,204,24460
2009,20,205,31621
2009,20,206,11990
2009,20,207,31384
2009,20,208,12407
2009,21,211,20474
2009,21,212,2135
2009,21,213,7905
2009,21,214,8081
2009,21,215,6394
2010,1,11,23568
2010,1,12,50208
2010,1,13,11113
2010,1,14,17412
2010,1,15,33493
2010,1,16,8114
2010,2,21,23211
2010,2,22,38071
2010,2,23,21591
2010,2,24,15951
2010,2,25,27115
2010,2,26,27845
2010,2,27,1003
2010,3,31,35843
2010,3,32,17241
2010,3,33,24250
2010,3,34,22688
2010,3,35,7296
2010,3,36,15841
2010,4,41,15640
2010,4,42,30287
2010,4,43,22161
2010,4,44,41574
2010,4,45,21322
2010,4,46,16751
2010,5,51,16566
2010,5,52,38154
2010,5,53,18953
2010,5,54,31759
2010,5,55,23811
2010,5,56,17115
2010,6,61,29801
2010,6,62,34693
2010,6,63,20705
2010,6,64,22359
2010,6,65,25270
2010,6,66,24699
2010,7,71,24236
2010,7,72,25911
2010,7,73,26145
2010,7,74,20310
2010,7,75,28065
2010,7,76,20477
2010,8,81,3519
2010,8,82,3233
2010,8,83,46127
2010,8,84,49111
2010,8,85,36168
2010,8,86,51684
2010,8,87,28798
2010,8,88,11118
2010,9,91,13263
2010,9,92,24854
2010,9,93,15975
2010,9,94,31101
2010,9,95,5584
2010,9,96,2525
2010,9,97,25629
2010,10,101,17957
2010,10,102,45468
2010,10,103,38719
2010,10,104,72943
2010,10,105,20553
2010,10,106,3672
2010,10,107,56090
2010,11,111,24057
2010,11,112,33854
2010,11,113,40576
2010,11,114,48567
2010,11,115,35587
2010,11,116,42807
2010,11,117,31197
2010,12,121,22438
2010,12,122,13385
2010,12,123,23273
2010,12,124,22607
2010,12,125,27554
2010,12,126,14614
2010,12,127,17884
2010,13,131,36435
2010,13,132,42674
2010,13,133,42187
2010,13,134,43822
2010,13,135,29527
2010,13,136,49393
2010,14,141,9829
2010,14,142,6617
2010,14,143,29973
2010,14,144,19765
2010,14,145,18286
2010,14,146,18201
2010,15,151,52017
2010,15,152,65328
2010,15,153,25951
2010,15,154,21940
2010,15,155,19653
2010,15,156,12898
2010,15,157,6253
2010,15,158,1725
2010,15,159,23070
2010,16,161,6662
2010,16,162,15230
2010,16,163,43620
2010,16,164,57067
2010,16,165,15953
2010,16,166,36154
2010,17,171,45382
2010,17,172,16867
2010,17,173,15257
2010,17,174,38949
2010,17,175,33281
2010,18,181,61657
2010,18,182,26544
2010,19,191,49768
2010,20,201,26990
2010,20,202,9559
2010,20,203,8981
2010,20,204,24531
2010,20,205,31985
2010,20,206,12676
2010,20,207,31209
2010,20,208,12380
2010,21,211,20540
2010,21,212,2169
2010,21,213,7890
2010,21,214,8495
2010,21,215,6703
2011,1,11,23421
2011,1,12,49504
2011,1,13,11149
2011,1,14,17330
2011,1,15,33293
2011,1,16,8179
2011,2,21,23202
2011,2,22,37913
2011,2,23,21238
2011,2,24,16519
2011,2,25,27429
2011,2,26,27430
2011,2,27,986
2011,3,31,35276
2011,3,32,17285
2011,3,33,24007
2011,3,34,22476
2011,3,35,7250
2011,3,36,15774
2011,4,41,15693
2011,4,42,30046
2011,4,43,21997
2011,4,44,41434
2011,4,45,21328
2011,4,46,16882
2011,5,51,16730
2011,5,52,37795
2011,5,53,18874
2011,5,54,31693
2011,5,55,23825
2011,5,56,17200
2011,6,61,29590
2011,6,62,34473
2011,6,63,20502
2011,6,64,22137
2011,6,65,25231
2011,6,66,24500
2011,7,71,23806
2011,7,72,25594
2011,7,73,25866
2011,7,74,20236
2011,7,75,27965
2011,7,76,20306
2011,8,81,3465
2011,8,82,3207
2011,8,83,45795
2011,8,84,48415
2011,8,85,35772
2011,8,86,53758
2011,8,87,29072
2011,8,88,12413
2011,9,91,13052
2011,9,92,24909
2011,9,93,15883
2011,9,94,30816
2011,9,95,5751
2011,9,96,2540
2011,9,97,25754
2011,10,101,17757
2011,10,102,44755
2011,10,103,37805
2011,10,104,71730
2011,10,105,20303
2011,10,106,3965
2011,10,107,55254
2011,11,111,23675
2011,11,112,33427
2011,11,113,40505
2011,11,114,47771
2011,11,115,35327
2011,11,116,43385
2011,11,117,30901
2011,12,121,22437
2011,12,122,13423
2011,12,123,23090
2011,12,124,22172
2011,12,125,27443
2011,12,126,14200
2011,12,127,17498
2011,13,131,35508
2011,13,132,42055
2011,13,133,41588
2011,13,134,43495
2011,13,135,29560
2011,13,136,48782
2011,14,141,9585
2011,14,142,6611
2011,14,143,29525
2011,14,144,19397
2011,14,145,18034
2011,14,146,17960
2011,15,151,50866
2011,15,152,64351
2011,15,153,25718
2011,15,154,21579
2011,15,155,19251
2011,15,156,12911
2011,15,157,6280
2011,15,158,1727
2011,15,159,23106
2011,16,161,6734
2011,16,162,15448
2011,16,163,43270
2011,16,164,56143
2011,16,165,15841
