Anyo,codigo_distrito,codigo_barrio,renta
2013,1,11,31912.671136554
2013,1,12,23917.9716060291
2013,1,13,32410.5625925926
2013,1,14,36413.5358867178
2013,1,15,28782.5408047034
2013,1,16,27377.5178430296
2013,2,21,39919.8051248313
2013,2,22,42748.8007011447
2013,2,23,30279.7215800192
2013,2,24,45690.8273585721
2013,2,25,37010.0056696631
2013,2,26,32028.6954407268
2013,2,27,34606.5870913462
2013,3,31,39953.7356568593
2013,3,32,43239.2561189313
2013,3,33,56529.395522826
2013,3,34,43021.3492185955
2013,3,35,61916.3198690909
2013,3,36,65003.1873283825
2013,4,41,78534.9370241884
2013,4,42,46913.7553091718
2013,4,43,38598.715288622
2013,4,44,44361.0249973359
2013,4,45,45891.1550569293
2013,4,46,75552.7027060795
2013,5,51,113836.827925432
2013,5,52,41623.7889287578
2013,5,53,41162.345086184
2013,5,54,58862.0576558333
2013,5,55,73269.8772947936
2013,5,56,53214.4407089014
2013,6,61,29258.0087261599
2013,6,62,40466.5976855013
2013,6,63,43088.1252244618
2013,6,64,27278.7061824743
2013,6,65,26847.5047428857
2013,6,66,27221.0708321288
2013,7,71,41122.2622573944
2013,7,72,41590.1229430118
2013,7,73,38017.9177252836
2013,7,74,65706.4822262821
2013,7,75,45063.9335431639
2013,7,76,56802.0873146541
2013,8,81,35555.1293173293
2013,8,82,83047.4152124646
2013,8,83,39527.2353793355
2013,8,84,32912.2936380902
2013,8,85,56953.098539335
2013,8,86,39314.8635767961
2013,8,87,73487.0927797396
2013,8,88,51444.6646065808
2013,9,91,39510.5927689629
2013,9,92,49355.1255906607
2013,9,93,62275.7900262146
2013,9,94,34027.558734594
2013,9,95,106640.846500868
2013,9,96,93597.3047619048
2013,9,97,67162.500933475
2013,10,101,27624.3561544523
2013,10,102,26531.9197812573
2013,10,103,29069.1418602968
2013,10,104,30431.0956849079
2013,10,105,30794.5753271417
2013,10,106,35053.3056701632
2013,10,107,28990.1567878374
2013,11,111,26321.3272806828
2013,11,112,27099.8840440472
2013,11,113,25021.2390082136
2013,11,114,26875.7557331186
2013,11,115,24636.6814555009
2013,11,116,29610.6700498598
2013,11,117,27438.806196786
2013,12,121,25968.5679783784
2013,12,122,23197.5568721109
2013,12,123,24201.506311662
2013,12,124,24290.8396102831
2013,12,125,25745.4739127673
2013,12,126,24556.0532805995
2013,12,127,21814.3179381983
2013,13,131,21038.580288152
2013,13,132,20108.0129820432
2013,13,133,27649.779460922
2013,13,134,25372.478739345
2013,13,135,22832.9171257886
2013,13,136,23773.9104392395
2013,14,141,33133.6963049579
2013,14,142,41912.7153559795
2013,14,143,39432.6247998511
2013,14,144,34725.9356959887
2013,14,145,27396.6622312105
2013,14,146,28551.2156833934
2013,15,151,27598.8951478563
2013,15,152,29101.1919296734
2013,15,153,29520.0513445879
2013,15,154,33489.0115740952
2013,15,155,41145.2389347173
2013,15,156,53815.4996660959
2013,15,157,50733.5909106029
2013,15,158,64437.9374640288
2013,15,159,61976.636143655
2013,16,161,75672.5854571293
2013,16,162,100792.468663717
2013,16,163,38763.1811252234
2013,16,164,32811.4496718174
2013,16,165,35135.797848522
2013,16,166,52532.1401325811
2013,17,171,23657.7578136247
2013,17,172,18121.612327044
