Anyo,codigo_distrito,codigo_barrio,tamanyo_hogar
2019,1,11,2.03
2019,1,12,2.05
2019,1,13,1.94
2019,1,14,2.0
2019,1,15,1.96
2019,1,16,1.97
2019,2,21,2.36
2019,2,22,2.38
2019,2,23,2.33
2019,2,24,2.58
2019,2,25,2.4
2019,2,26,2.19
2019,2,27,2.77
2019,3,31,2.29
2019,3,32,2.43
2019,3,33,2.68
2019,3,34,2.34
2019,3,35,2.51
2019,3,36,2.72
2019,4,41,2.36
2019,4,42,2.24
2019,4,43,2.27
2019,4,44,2.36
2019,4,45,2.27
2019,4,46,2.48
2019,5,51,2.84
2019,5,52,2.3
2019,5,53,2.33
2019,5,54,2.56
2019,5,55,2.67
2019,5,56,2.54
2019,6,61,2.46
2019,6,62,2.3
2019,6,63,2.19
2019,6,64,2.43
2019,6,65,2.45
2019,6,66,2.44
2019,7,71,2.18
2019,7,72,2.18
2019,7,73,2.11
2019,7,74,2.45
2019,7,75,2.26
2019,7,76,2.41
2019,8,81,2.63
2019,8,82,2.93
2019,8,83,2.62
2019,8,84,2.38
2019,8,85,2.69
2019,8,86,2.77
2019,8,87,3.11
2019,8,88,3.28
2019,9,91,2.32
2019,9,92,2.32
2019,9,93,2.65
2019,9,94,2.43
2019,9,95,3.52
2019,9,96,3.28
2019,9,97,3.15
2019,10,101,2.64
2019,10,102,2.39
2019,10,103,2.55
2019,10,104,2.49
2019,10,105,2.61
2019,10,106,2.62
2019,10,107,2.48
2019,11,111,2.35
2019,11,112,2.52
2019,11,113,2.58
2019,11,114,2.66
2019,11,115,2.79
2019,11,116,2.74
2019,11,117,2.79
2019,12,121,2.71
2019,12,122,2.92
2019,12,123,2.86
2019,12,124,2.8
2019,12,125,2.7
2019,12,126,2.8
2019,12,127,2.93
2019,13,131,2.74
2019,13,132,2.63
2019,13,133,2.68
2019,13,134,2.66
2019,13,135,2.63
2019,13,136,2.61
2019,14,141,2.78
2019,14,142,2.93
2019,14,143,2.52
2019,14,144,2.49
2019,14,145,2.5
2019,14,146,2.34
2019,15,151,2.42
2019,15,152,2.6
2019,15,153,2.38
2019,15,154,2.3
2019,15,155,2.41
2019,15,156,2.57
2019,15,157,2.49
2019,15,158,2.78
2019,15,159,2.77
2019,16,161,3.1
2019,16,162,3.06
2019,16,163,2.53
2019,16,164,2.48
2019,16,165,2.66
2019,16,166,2.9
2019,17,171,2.76
2019,17,172,3.14
2019,17,173,2.86
2019,17,174,2.85
2019,17,175,2.59
2019,18,181,2.71
2019,18,182,2.72
2019,18,183,2.48
2019,19,191,2.64
2019,19,192,2.89
2019,19,193,2.88
2019,19,194,2.49
2019,20,201,2.57
2019,20,202,2.48
2019,20,203,2.55
2019,20,204,2.7
2019,20,205,2.86
2019,20,206,2.5
2019,20,207,2.61
2019,20,208,2.64
2019,21,211,2.69
2019,21,212,2.69
2019,21,213,2.43
2019,21,214,2.67
2019,21,215,2.96
2020,1,11,2.04
2020,1,12,2.09
2020,1,13,1.98
2020,1,14,2.03
2020,1,15,1.98
2020,1,16,1.99
2020,2,21,2.36
2020,2,22,2.37
2020,2,23,2.34
2020,2,24,2.58
2020,2,25,2.41
2020,2,26,2.2
2020,2,27,2.79
2020,3,31,2.28
2020,3,32,2.42
2020,3,33,2.67
2020,3,34,2.35
2020,3,35,2.53
2020,3,36,2.71
2020,4,41,2.37
2020,4,42,2.25
2020,4,43,2.27
2020,4,44,2.37
2020,4,45,2.28
2020,4,46,2.49
2020,5,51,2.84
2020,5,52,2.3
2020,5,53,2.33
