FID;OBJECTID;CODDIS;NOMDIS;COD_BAR;NOMBRE;COD_DIS_TX;BARRIO_MAY;COD_DISBAR;NUM_BAR;BARRIO_MT;COD_DISB;AREA
0;132;17;Villaverde;172;San Crist�bal;17;SAN CRISTOBAL;172;2;SAN CRIST�BAL;17-feb;1082492,472
1;133;17;Villaverde;173;Butarque;17;BUTARQUE;173;3;BUTARQUE;17-mar;6375521,776
2;134;17;Villaverde;175;��ngeles;17;ANGELES;175;5;��NGELES;17-may;1935271,49
3;135;17;Villaverde;174;Los Rosales;17;LOS ROSALES;174;4;LOS ROSALES;17-abr;1540746,761
4;136;17;Villaverde;171;Villaverde Alto - Casco Hist�rico de Villaverde;17;VILLAVERDE ALTO - CASCO HISTORICO DE VILLAVERDE;171;1;VILLAVERDE ALTO - CASCO HIST�RICO DE VILLAVERDE;17-ene;9253553,841
5;137;12;Usera;121;Orcasitas;12;ORCASITAS;121;1;ORCASITAS;12-ene;1356362,732
6;138;18;Villa de Vallecas;183;Ensanche de Vallecas;18;ENSANCHE DE VALLECAS;183;3;ENSANCHE DE VALLECAS;18-mar;6341118,962
7;139;11;Carabanchel;116;Buenavista;11;BUENAVISTA;116;6;BUENAVISTA;11-jun;5613180,402
8;140;10;Latina;106;Cuatro Vientos;10;CUATRO VIENTOS;106;6;CUATRO VIENTOS;10-jun;5430118,612
9;141;12;Usera;123;San Ferm�n;12;SAN FERMIN;123;3;SAN FERM�N;12-mar;1475399,064
10;142;18;Villa de Vallecas;181;Casco Hist�rico de Vallecas;18;CASCO HISTORICO DE VALLECAS;181;1;CASCO HIST�RICO DE VALLECAS;18-ene;43045886,11
11;143;12;Usera;122;Orcasur;12;ORCASUR;122;2;ORCASUR;12-feb;1387349,575
12;144;12;Usera;126;Zof�o;12;ZOFIO;126;6;ZOF�O;12-jun;774025,5366
13;145;12;Usera;127;Pradolongo;12;PRADOLONGO;127;7;PRADOLONGO;12-jul;1095651,854
14;146;11;Carabanchel;117;Abrantes;11;ABRANTES;117;7;ABRANTES;11-jul;1564570,609
15;147;11;Carabanchel;115;Puerta Bonita;11;PUERTA BONITA;115;5;PUERTA BONITA;11-may;1608625,387
16;148;12;Usera;124;Almendrales;12;ALMENDRALES;124;4;ALMENDRALES;12-abr;780140,8801
17;149;18;Villa de Vallecas;182;Santa Eugenia;18;SANTA EUGENIA;182;2;SANTA EUGENIA;18-feb;2080233,339
18;150;11;Carabanchel;114;Vista Alegre;11;VISTA ALEGRE;114;4;VISTA ALEGRE;11-abr;1589225,482
19;151;13;Puente de Vallecas;131;Entrev�as;13;ENTREVIAS;131;1;ENTREV��AS;13-ene;5971941,777
20;152;10;Latina;107;��guilas;10;AGUILAS;107;7;��GUILAS;10-jul;3609602,617
21;153;13;Puente de Vallecas;134;Palomeras Sureste;13;PALOMERAS SURESTE;134;4;PALOMERAS SURESTE;13-abr;3108597,48
22;154;13;Puente de Vallecas;133;Palomeras Bajas;13;PALOMERAS BAJAS;133;3;PALOMERAS BAJAS;13-mar;1723868,314
23;155;2;Arganzuela;24;Legazpi;2;LEGAZPI;24;4;LEGAZPI;02-abr;1414470,497
24;156;12;Usera;125;Moscard�;12;MOSCARDO;125;5;MOSCARD�;12-may;908787,6515
25;157;11;Carabanchel;112;Opa�el;11;OPAÑEL;112;2;OPA�EL;11-feb;1107286,044
26;158;13;Puente de Vallecas;132;San Diego;13;SAN DIEGO;132;2;SAN DIEGO;13-feb;1069868,7
27;159;13;Puente de Vallecas;135;Portazgo;13;PORTAZGO;135;5;PORTAZGO;13-may;1245260,691
28;160;11;Carabanchel;111;Comillas;11;COMILLAS;111;1;COMILLAS;11-ene;666096,1285
29;161;10;Latina;105;Campamento;10;CAMPAMENTO;105;5;CAMPAMENTO;10-may;9191379,465
30;162;2;Arganzuela;23;Chopera;2;CHOPERA;23;3;CHOPERA;02-mar;567786,5291
31;163;2;Arganzuela;25;Delicias;2;DELICIAS;25;5;DELICIAS;02-may;1054679,159
32;164;10;Latina;104;Aluche;10;ALUCHE;104;4;ALUCHE;10-abr;2849809,707
33;165;14;Moratalaz;141;Pavones;14;PAVONES;141;1;PAVONES;14-ene;1009652,016
34;166;19;Vic��lvaro;193;Valderrivas;19;VALDERRIVAS;193;3;VALDERRIVAS;19-mar;643168,463
35;167;11;Carabanchel;113;San Isidro;11;SAN ISIDRO;113;3;SAN ISIDRO;11-mar;1899332,06
36;168;19;Vic��lvaro;192;Valdebernardo;19;VALDEBERNARDO;192;2;VALDEBERNARDO;19-feb;2555072,515
37;169;13;Puente de Vallecas;136;Numancia;13;NUMANCIA;136;6;NUMANCIA;13-jun;1849069,192
38;170;3;Retiro;32;Adelfas;3;ADELFAS;32;2;ADELFAS;03-feb;640789,3292
39;171;2;Arganzuela;22;Acacias;2;ACACIAS;22;2;ACACIAS;02-feb;1073437,937
40;172;3;Retiro;31;Pac�fico;3;PACIFICO;31;1;PAC�FICO;03-ene;758250,3574
41;173;2;Arganzuela;26;Palos de la Frontera;2;PALOS DE LA FRONTERA;26;6;PALOS DE LA FRONTERA;02-jun;648442,3062
42;174;14;Moratalaz;145;Fontarr�n;14;FONTARRON;145;5;FONTARR�N;14-may;964573,8875
43;175;2;Arganzuela;27;Atocha;2;ATOCHA;27;7;ATOCHA;02-jul;735680,5995
44;176;10;Latina;101;Los C��rmenes;10;LOS CARMENES;101;1;LOS C��RMENES;10-ene;1291998,544
